App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Motorola Spotlight Player™,ENTERTAINMENT,4.6,22508,3.3M,"10,000,000+",Free,0,Everyone,Entertainment,"July 16, 2015",v1.8b22p13,4.2 and up
Vigo Lite,ENTERTAINMENT,4.2,10291,6.5M,"5,000,000+",Free,0,Teen,Entertainment,NaN,3.7.3,4.0.3 and up
Google Play Games,ENTERTAINMENT,4.3,7165362,Varies with device,"1,000,000,000+",Free,0,Teen,Entertainment,"July 16, 2018",Varies with device,Varies with device
Hotstar,ENTERTAINMENT,NaN,4885646,Varies with device,"100,000,000+",Free,0,Teen,Entertainment,"August 3, 2018",Varies with device,Varies with device
"Peers.TV: broadcast TV channels First, Match TV, TNT ...",ENTERTAINMENT,4.1,141980,Varies with device,"5,000,000+",Free,0,Teen,Entertainment,"July 30, 2018",Varies with device,Varies with device
The green alien dance,ENTERTAINMENT,3.8,NaN,12M,"1,000,000+",Free,0,Everyone,Entertainment,NaN,1.03,4.0 and up
Spectrum TV,ENTERTAINMENT,3.4,46618,Varies with device,"5,000,000+",Free,0,Teen,Entertainment,"July 19, 2018",Varies with device,Varies with device
H TV,ENTERTAINMENT,4.3,103078,5.6M,"5,000,000+",Free,0,Everyone,Entertainment,"July 5, 2018",4.6.2,2.3.3 and up
StarTimes - Live International Champions Cup,ENTERTAINMENT,4.4,17682,9.7M,"1,000,000+",Free,0,Everyone,Entertainment,"August 3, 2018",5.2,4.0.3 and up
Cinematic Cinematic,ENTERTAINMENT,4.4,37000,15M,"1,000,000+",Free,0,Mature 17+,Entertainment,"June 21, 2018",4.0.5,4.1 and up
MEGOGO - Cinema and TV,ENTERTAINMENT,4,175528,Varies with device,"10,000,000+",Free,0,Everyone,Entertainment,"August 3, 2018",Varies with device,Varies with device
Talking Angela,ENTERTAINMENT,3.7,1828284,NaN,"100,000,000+",Free,0,Everyone,Entertainment,"July 12, 2018",2.8.2,4.1 and up
DStv Now,ENTERTAINMENT,3.9,34923,Varies with device,"5,000,000+",Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
ivi - movies and TV shows in HD,ENTERTAINMENT,4.5,684116,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"July 31, 2018",Varies with device,4.2 and up
Radio Javan,ENTERTAINMENT,4.4,46916,4.5M,"1,000,000+",Free,0,Everyone,Entertainment,"July 18, 2018",7.3,4.2 and up
Viki: Asian TV Dramas & Movies,ENTERTAINMENT,4.3,407698,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
Talking Ginger 2,ENTERTAINMENT,4.2,702975,49M,"50,000,000+",Free,0,Everyone,Entertainment,"July 5, 2018",2.6.6.11,4.1 and up
Girly Lock Screen Wallpaper with Quotes,ENTERTAINMENT,4.2,32458,18M,"5,000,000+",Free,0,Everyone,Entertainment,"June 19, 2018",2.2,4.1 and up
No.Draw - Colors by Number 2018,ENTERTAINMENT,4.5,235496,13M,"10,000,000+",Free,0,Everyone,Entertainment;Brain Games,"July 29, 2018",1.2.0,4.1 and up
🔥 Football Wallpapers 4K | Full HD Backgrounds 😍,ENTERTAINMENT,4.7,11661,4.0M,"1,000,000+",Free,0,Everyone,Entertainment,"July 14, 2018",1.1.3.2,4.0.3 and up
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4.5,653008,16M,"10,000,000+",Free,0,Everyone,Entertainment,"June 20, 2018",9.1.4,4.4 and up
Low Poly – Puzzle art game,ENTERTAINMENT,4.5,23063,17M,"1,000,000+",Free,0,Everyone,Entertainment;Brain Games,"August 3, 2018",1.0.9,4.1 and up
BBC Media Player,ENTERTAINMENT,3.4,87384,Varies with device,"10,000,000+",Free,0,Everyone,Entertainment,"September 14, 2016",Varies with device,Varies with device
Amazon Prime Video,ENTERTAINMENT,NaN,411683,24M,"50,000,000+",Free,0,Teen,Entertainment,"August 2, 2018",3.0.231.18141,4.1 and up
Adult Glitter Color by Number Book - Sandbox Pages,ENTERTAINMENT,4.3,NaN,Varies with device,"1,000,000+",Free,0,Everyone,Entertainment;Creativity,"July 21, 2018",1.7,4.4 and up
IMDb Movies & TV,ENTERTAINMENT,4.2,501498,12M,"100,000,000+",Free,0,Teen,Entertainment,"July 26, 2018",Varies with device,Varies with device
Twitch: Livestream Multiplayer Games & Esports,ENTERTAINMENT,4.6,2133296,Varies with device,"50,000,000+",Free,0,Teen,Entertainment,"July 31, 2018",Varies with device,Varies with device
Ziggo GO,ENTERTAINMENT,4.1,29690,78M,"1,000,000+",Free,0,Teen,Entertainment,"August 3, 2018",2.3.34 Prod,4.3 and up
YouTube Gaming,ENTERTAINMENT,4.2,130549,Varies with device,"5,000,000+",Free,0,Teen,Entertainment,"June 27, 2018",2.08.78.2,4.1 and up
PlayStation App,ENTERTAINMENT,4.2,613059,25M,"50,000,000+",Free,0,Everyone,Entertainment,"July 26, 2018",18.07.0,4.1 and up
Talking Ben the Dog,ENTERTAINMENT,4.3,1633682,57M,"100,000,000+",Free,0,Everyone,Entertainment,"July 3, 2018",NaN,4.1 and up
"Red Bull TV: Live Sports, Music & Entertainment",ENTERTAINMENT,4.4,42050,Varies with device,"1,000,000+",Free,0,Teen,Entertainment,"August 3, 2018",Varies with device,Varies with device
Trailer Addict Movie Trailers,ENTERTAINMENT,3.9,NaN,9.1M,"100,000+",Free,0,Teen,Entertainment,"February 14, 2018",2.2.0,4.2 and up
Cinemark Theatres,ENTERTAINMENT,4.1,21867,39M,"1,000,000+",Free,0,Teen,Entertainment,"July 12, 2018",2.19.0,5.0 and up
Regal Cinemas,ENTERTAINMENT,4.3,32732,Varies with device,"1,000,000+",Free,0,Everyone,Entertainment,NaN,Varies with device,Varies with device
"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4.5,653008,16M,"10,000,000+",Free,0,Everyone,Entertainment,"June 20, 2018",9.1.4,4.4 and up
Fandango Movies - Times + Tickets,ENTERTAINMENT,4.6,243747,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"August 2, 2018",Varies with device,Varies with device
Marcus Theatres,ENTERTAINMENT,3.6,2639,8.5M,"100,000+",Free,0,Everyone,Entertainment,"February 7, 2018",2.9.43,6.0 and up
Harkins Theatres,ENTERTAINMENT,4.3,1511,NaN,"100,000+",Free,0,Everyone,Entertainment,"June 11, 2018",2.1.1,4.1 and up
AMC Theatres,ENTERTAINMENT,4.3,44550,72M,"1,000,000+",Free,0,Everyone,Entertainment,"July 18, 2018",6.18.3,5.0 and up
IMDb Movies & TV,ENTERTAINMENT,4.2,501497,12M,"100,000,000+",Free,0,Teen,Entertainment,"July 26, 2018",Varies with device,Varies with device
Netflix,ENTERTAINMENT,4.4,5456208,Varies with device,"100,000,000+",Free,0,Teen,Entertainment,"July 31, 2018",Varies with device,Varies with device
Food Network,ENTERTAINMENT,4.1,7813,Varies with device,"500,000+",Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
Cooking Channel,ENTERTAINMENT,NaN,1033,16M,"100,000+",Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
Crackle - Free TV & Movies,ENTERTAINMENT,3.7,388089,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"April 12, 2018",Varies with device,Varies with device
CBS - Full Episodes & Live TV,ENTERTAINMENT,3.8,92058,12M,"10,000,000+",Free,0,Teen,Entertainment,"July 20, 2018",4.8.6,4.1 and up
Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,3,493,23M,"50,000+",Free,0,Everyone,Entertainment,"June 15, 2018",2.0.0,4.4 and up
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20M,"1,000,000+",Free,0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up
Nick,ENTERTAINMENT,4.2,123279,25M,"10,000,000+",Free,0,Everyone 10+,Entertainment;Music & Video,"January 24, 2018",2.0.8,4.4 and up
VH1,ENTERTAINMENT,4.1,27424,NaN,"1,000,000+",Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up
FOX NOW - On Demand & Live TV,ENTERTAINMENT,3.9,NaN,Varies with device,"5,000,000+",Free,0,Teen,Entertainment,"July 26, 2018",Varies with device,4.4 and up
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4,29706,19M,"1,000,000+",Free,0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up
The CW,ENTERTAINMENT,4.4,288150,21M,"5,000,000+",Free,0,Teen,Entertainment,"July 23, 2018",2.17,4.4 and up
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19M,"1,000,000+",Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up
"Hulu: Stream TV, Movies & more",ENTERTAINMENT,4,319692,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"August 3, 2018",Varies with device,5.0 and up
SHOWTIME,ENTERTAINMENT,4.2,12398,Varies with device,"1,000,000+",Free,0,Teen,Entertainment,"July 2, 2018",Varies with device,Varies with device
MTV,ENTERTAINMENT,3.8,35279,15M,"1,000,000+",Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up
Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,4,35931,19M,"1,000,000+",Free,0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up
Comedy Central,ENTERTAINMENT,3.9,22378,19M,"1,000,000+",Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19M,"1,000,000+",Free,0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up
FOX,ENTERTAINMENT,3.7,NaN,44M,"10,000,000+",Free,0,Mature 17+,Entertainment,"June 25, 2018",6.6.1,4.4 and up
Telemundo Now,ENTERTAINMENT,3.9,8674,19M,"1,000,000+",Free,0,Teen,Entertainment,"May 25, 2018",3.3.1.42,4.4 and up
Nick Jr. - Shows & Games,ENTERTAINMENT,4.2,8968,35M,"1,000,000+",Free,0,Everyone,Entertainment;Music & Video,"January 23, 2018",1.0.20,4.4 and up
My Talking Pet,ENTERTAINMENT,4.6,6238,NaN,"100,000+",Paid,$4.99,Everyone,Entertainment,"June 30, 2018",Varies with device,Varies with device
Funny Pics,ENTERTAINMENT,3.9,9941,Varies with device,"1,000,000+",Free,0,Teen,Entertainment,"July 7, 2017",Varies with device,Varies with device
Funny Quotes Free,ENTERTAINMENT,NaN,23666,3.6M,"1,000,000+",Free,0,Teen,Entertainment,"May 4, 2018",8.1,4.0 and up
LOL Pics (Funny Pictures),ENTERTAINMENT,NaN,67554,7.7M,"1,000,000+",Free,0,Teen,Entertainment,"September 15, 2015",4,2.3.3 and up
Meme Creator,ENTERTAINMENT,4.2,38769,44M,"1,000,000+",Free,0,Mature 17+,Entertainment,"September 22, 2015",7.2.3,2.3 and up
"Imgur: Find funny GIFs, memes & watch viral videos",ENTERTAINMENT,4.3,160164,12M,"10,000,000+",Free,0,Teen,Entertainment,"August 1, 2018",4.2.0.8447,5.0 and up
Meme Generator,ENTERTAINMENT,4.6,3771,53M,"100,000+",Paid,$2.99,Mature 17+,Entertainment,"August 3, 2018",4.426,4.1 and up
SketchBook - draw and paint,ENTERTAINMENT,4.3,256664,77M,"10,000,000+",Free,0,Everyone,Entertainment,"May 4, 2018",4.1.7,4.0.3 and up
Colorfy: Coloring Book for Adults - Free,ENTERTAINMENT,4.5,787177,Varies with device,"10,000,000+",Free,0,Everyone,Entertainment,"June 20, 2018",Varies with device,Varies with device
All Events in City,EVENTS,4,3782,9.5M,"100,000+",Free,0,Everyone,Events,"June 12, 2018",8.4,4.0.3 and up
Ticketmaster Event Tickets,EVENTS,4,40113,36M,"5,000,000+",Free,0,Everyone,Events,"July 23, 2018",Varies with device,Varies with device
Reminder,EVENTS,4.5,NaN,6.3M,"500,000+",Free,0,Everyone,Events,"June 25, 2018",1.57,4.1 and up
Birdays - Birthday reminder,EVENTS,4.5,2153,5.9M,"50,000+",Free,0,Everyone,Events,"December 14, 2017",1.5.0,4.1 and up
"StubHub - Tickets to Sports, Concerts & Events",EVENTS,4,26089,Varies with device,"5,000,000+",Free,0,Everyone,Events,"August 2, 2018",4.2.1,Varies with device
Fever,EVENTS,4,20611,12M,"1,000,000+",Free,0,Teen,Events,"July 18, 2018",4.3.6,4.1 and up
DroidAdmin for Android - Advice,EVENTS,4.2,811,2.8M,"10,000+",Free,0,Everyone,Events,"May 29, 2018",3.8,4.0 and up
"SeatGeek – Tickets to Sports, Concerts, Broadway",EVENTS,NaN,15558,26M,"1,000,000+",Free,0,Everyone,Events,"August 3, 2018",2018.07.31229,5.0 and up
my4D,EVENTS,4.6,573,8.7M,"100,000+",Free,0,Everyone,Events,"July 12, 2018",1.4,4.2 and up
VAN NIAN 2018 - Vietnamese Calendar,EVENTS,NaN,37,16M,"10,000+",Free,0,Everyone,Events,"November 27, 2017",1,4.0 and up
Vivid Seats – Event Tickets,EVENTS,4.6,8232,53M,"1,000,000+",Free,0,Everyone,Events,"July 31, 2018",Varies with device,5.0 and up
Name days,EVENTS,4.1,3089,Varies with device,"100,000+",Free,0,Everyone,Events,"July 12, 2018",Varies with device,Varies with device
LBB - Find New & Unique Things To Do Around You,EVENTS,4.6,3874,14M,"100,000+",Free,0,Everyone,Events,"July 27, 2018",4.0.19,4.2 and up
Happy Birthday Songs Offline,EVENTS,4.4,464,8.9M,"100,000+",Free,0,Everyone,Events,"December 4, 2017",1.3,4.1 and up
Series Valley of the Wolves full of part,EVENTS,4.6,731,11M,"50,000+",Free,0,Everyone,Events,"December 24, 2017",2,4.0 and up
Mummatikabalkuragi,EVENTS,4.9,69,334k,"1,000+",Free,0,Teen,Events,"July 22, 2018",1,4.0 and up
"Gametime - Tickets to Sports, Concerts, Theater",EVENTS,4.5,8800,24M,"1,000,000+",Free,0,Everyone,Events,NaN,11.1.1,5.0 and up
"PTI Flex Maker, Photo Frame Editor & Songs 2018",EVENTS,4.6,NaN,13M,"10,000+",Free,0,Everyone,Events,"July 6, 2018",1.1,4.2 and up
Wipe out,EVENTS,4.7,30,Varies with device,500+,Free,0,Teen,Events,"May 23, 2018",Varies with device,Varies with device
Birthdays & Other Events,EVENTS,4.3,456,2.8M,"50,000+",Free,0,Everyone,Events,"June 21, 2018",1.75,2.3.3 and up
Sarajevo Film Festival - Official,EVENTS,NaN,6,9.7M,100+,Free,0,Everyone 10+,Events,"July 31, 2018",2.0.1,4.4W and up
Summer Madness,EVENTS,NaN,4,1.4M,100+,Free,0,Everyone,Events,"July 26, 2018",1.107,4.0 and up
Events High - Meet Your City!,EVENTS,4.2,3200,Varies with device,"100,000+",Free,0,Everyone 10+,Events,"June 23, 2018",Varies with device,Varies with device
vide-greniers.org,EVENTS,4.3,5839,3.5M,"100,000+",Free,0,Everyone,Events,"November 8, 2016",16.11.8,2.3.3 and up
SUMMER SONIC app,EVENTS,5,4,61M,500+,Free,0,Everyone,Events,"July 24, 2018",1,4.4 and up
Quake & Volcanoes: 3D Globe of Volcanic Eruptions,EVENTS,4.4,663,6.0M,"100,000+",Free,0,Everyone,Events,"October 14, 2017",NaN,4.1 and up
Prosperity,EVENTS,5,16,2.3M,100+,Free,0,Everyone,Events,"July 9, 2018",1.14,2.0 and up
Picktrainer: India's largest photo contest app,EVENTS,4.5,1065,9.0M,"100,000+",Free,0,Everyone,Events,"May 31, 2018",1.3.2,4.1 and up
AAS-IN-ASIA 2018,EVENTS,NaN,3,11M,100+,Free,0,Everyone,Events,"July 4, 2018",1.1.9,4.1 and up
Moot Peru 2018,EVENTS,NaN,13,27M,"1,000+",Free,0,Everyone,Events,"June 28, 2018",1,3.0 and up
FM News,EVENTS,NaN,46,3.6M,"5,000+",Free,0,Everyone,Events,"July 4, 2018",1.4,4.2 and up
Goldstar: Live Event Tickets,EVENTS,4.5,1953,Varies with device,"100,000+",Free,0,Teen,Events,"August 1, 2018",Varies with device,Varies with device
Emmabodafestivalen,EVENTS,4.8,12,29M,"1,000+",Free,0,Everyone 10+,Events,"June 28, 2018",42,4.2 and up
KudaGo - things to do in NY,EVENTS,4.4,4298,4.4M,"100,000+",Free,0,Everyone,Events,"April 27, 2017",2.2.2,4.0 and up
Mindvalley U Tallinn 2018,EVENTS,5,1,21M,100+,Free,0,Everyone,Events,"July 3, 2018",1.0.5,4.4 and up
Rockmaraton Info,EVENTS,NaN,49,13M,"1,000+",Free,0,Everyone,Events,"July 8, 2018",18.4,4.4 and up
Freitas Auctioneer Official,EVENTS,3.7,100,27M,"50,000+",Free,0,Everyone,Events,"December 15, 2017",1.0.11,4.0.3 and up
mobLee Events,EVENTS,NaN,11,11M,"5,000+",Free,0,Everyone,Events,"May 30, 2018",3.05.30.16,4.1 and up
"Xceed - Clubs, DJs, Festivals & Tickets",EVENTS,4.1,399,NaN,"100,000+",Free,0,Everyone,Events,"August 3, 2018",Cannonau 3.11.11,5.0 and up
AMM Events & CPD,EVENTS,NaN,5,6.1M,100+,Free,0,Everyone,Events,"August 4, 2018",1.0.5,4.3 and up
Arab Halls - For Wedding & Events,EVENTS,4.8,28,6.3M,"1,000+",Free,0,Everyone,Events,"May 20, 2018",8.0bld14,4.1 and up
MeAuDote - An act of love that saves a life,EVENTS,NaN,250,23M,"1,000+",Free,0,Everyone,Events,"June 22, 2018",1.0.11,4.1 and up
TCF National Conference,EVENTS,NaN,1,34M,100+,Free,0,Everyone,Events,"July 11, 2018",1,4.1 and up
Endurance Lifestyle,EVENTS,4.6,7,3.8M,500+,Free,0,Teen,Events,"July 10, 2017",2.1,4.2 and up
Barclays US for Android,FINANCE,4.1,6998,24M,"1,000,000+",Free,0,Everyone,Finance,"August 1, 2018",6.29.37589,5.0 and up
McDonald's,FOOD_AND_DRINK,3.6,145323,42M,"10,000,000+",Free,0,Everyone,Food & Drink,"July 31, 2018",5.15.0,4.4 and up
Easy and Fast Recipes,FOOD_AND_DRINK,NaN,95,12M,"50,000+",Free,0,Everyone,Food & Drink,"January 6, 2018",3.0.1,2.3 and up
Cookpad - FREE recipe search makes fun cooking · musical making!,FOOD_AND_DRINK,4.1,64784,13M,"10,000,000+",Free,0,Everyone,Food & Drink,"August 2, 2018",18.6.0.10,5.0 and up
DELISH KITCHEN - FREE recipe movies make food fun and easy!,FOOD_AND_DRINK,4.6,32997,13M,"1,000,000+",Free,0,Everyone,Food & Drink,"August 4, 2018",2.2.7,4.1 and up
Sumine side dish - dish recipe side dish,FOOD_AND_DRINK,NaN,82,4.9M,"10,000+",Free,0,Everyone,Food & Drink,"June 23, 2018",1.1,4.1 and up
Easy Recipes,FOOD_AND_DRINK,4.7,2707,8.9M,"100,000+",Free,0,Everyone,Food & Drink,"May 15, 2018",2.12,4.0.3 and up
Delicious Recipes,FOOD_AND_DRINK,4.7,129737,Varies with device,"1,000,000+",Free,0,Teen,Food & Drink,"August 3, 2018",Varies with device,Varies with device
Tastely,FOOD_AND_DRINK,4.7,611136,19M,"10,000,000+",Free,0,Everyone,Food & Drink,"July 13, 2018",3.2.0d,4.0.3 and up
Pastry & Cooking (Without Net),FOOD_AND_DRINK,4.7,6118,Varies with device,"1,000,000+",Free,0,Everyone,Food & Drink,"July 7, 2018",Varies with device,Varies with device
Frigo Magic: Easy recipe idea and anti-waste,FOOD_AND_DRINK,4.1,2473,14M,"500,000+",Free,0,Everyone,Food & Drink,"July 28, 2018",3.1.5,4.4 and up
McDonald's - McDonald's Japan,FOOD_AND_DRINK,3.4,109784,64M,"10,000,000+",Free,0,Everyone,Food & Drink,"August 3, 2018",4.0.30,4.0.3 and up
Debonairs Pizza,FOOD_AND_DRINK,3.8,3320,8.4M,"500,000+",Free,0,Everyone,Food & Drink,"August 4, 2018",1.9.117,4.0.3 and up
Popeyes® App,FOOD_AND_DRINK,3.7,61,11M,"50,000+",Free,0,Everyone,Food & Drink,"July 23, 2018",NaN,4.1 and up
Dunkin' Donuts,FOOD_AND_DRINK,4.2,68103,66M,"1,000,000+",Free,0,Everyone,Food & Drink,"June 20, 2018",5.0.0,4.4 and up
Pyaterochka,FOOD_AND_DRINK,3.1,8412,Varies with device,"1,000,000+",Free,0,Everyone,Food & Drink,"July 19, 2018",Varies with device,4.4 and up
Refreshing app Free application that can use deal coupons,FOOD_AND_DRINK,3.5,10741,41M,"1,000,000+",Free,0,Everyone,Food & Drink,"July 23, 2018",5.2.2,4.2 and up
Simple Recipes,FOOD_AND_DRINK,4.7,3803,15M,"500,000+",Free,0,Everyone,Food & Drink,"February 22, 2018",1.6,4.0 and up
Grubhub: Food Delivery,FOOD_AND_DRINK,NaN,155944,35M,"5,000,000+",Free,0,Everyone,Food & Drink,"August 2, 2018",7.12,5.0 and up
Panera Bread,FOOD_AND_DRINK,4.2,10159,36M,"1,000,000+",Free,0,Everyone,Food & Drink,"July 17, 2018",4.3.3,5.0 and up
Chick-fil-A,FOOD_AND_DRINK,4.3,28008,17M,"5,000,000+",Free,0,Everyone,Food & Drink,"August 3, 2018",6.0.1,5.0 and up
hellofood - Food Delivery,FOOD_AND_DRINK,4,43614,25M,"1,000,000+",Free,0,Everyone,Food & Drink,"October 12, 2016",2.14.36,4.0.3 and up
Starbucks,FOOD_AND_DRINK,4.5,455377,35M,"10,000,000+",Free,0,Everyone,Food & Drink,"August 1, 2018",4.11.1,4.4 and up
Easy and quick desserts,FOOD_AND_DRINK,4.6,1398,10M,"100,000+",Free,0,Everyone 10+,Food & Drink,"June 14, 2018",1,4.0.3 and up
Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,Varies with device,"10,000,000+",Free,0,Everyone,Food & Drink,"July 20, 2018",Varies with device,Varies with device
Chef - Recipes & Cooking,FOOD_AND_DRINK,4.1,32405,12M,"5,000,000+",Free,0,Everyone,Food & Drink,"July 3, 2018",3.3.21,4.1 and up
"Delivery Club-food delivery: pizza, sushi, burger, salad",FOOD_AND_DRINK,4.3,151080,Varies with device,"5,000,000+",Free,0,Everyone,Food & Drink,"July 27, 2018",Varies with device,Varies with device
HungerStation,FOOD_AND_DRINK,3.8,22513,11M,"1,000,000+",Free,0,Everyone,Food & Drink,"May 21, 2018",5.3.8,4.0.3 and up
Delivery yogi.,FOOD_AND_DRINK,4.4,90042,Varies with device,"10,000,000+",Free,0,Everyone,Food & Drink,"July 18, 2018",Varies with device,Varies with device
Delivery trough - delivery trough delivery trough,FOOD_AND_DRINK,4.3,58316,Varies with device,"5,000,000+",Free,0,Everyone,Food & Drink,"July 25, 2018",Varies with device,Varies with device
Dr. Oetker recipe ideas,FOOD_AND_DRINK,4.2,8509,17M,"1,000,000+",Free,0,Everyone,Food & Drink,"July 12, 2018",3.5.5,4.0.3 and up
SONIC Drive-In,FOOD_AND_DRINK,4.3,19314,43M,"1,000,000+",Free,0,Everyone,Food & Drink,"July 31, 2018",3.3.6,4.4 and up
SUBWAY®,FOOD_AND_DRINK,3.8,21314,41M,"1,000,000+",Free,0,Everyone,Food & Drink,"July 24, 2018",7.9.0.0,4.4 and up
GialloZafferano: Recipes,FOOD_AND_DRINK,NaN,30224,Varies with device,"1,000,000+",Free,0,Everyone,Food & Drink,"May 28, 2018",Varies with device,Varies with device
Galaxy Attack: Alien Shooter,GAME,4.6,506275,Varies with device,"10,000,000+",Free,0,Everyone,Arcade,"August 1, 2018",5.66,4.1 and up
Zombie Tsunami,GAME,4.4,4920817,Varies with device,"100,000,000+",Free,0,Everyone 10+,Arcade,"June 15, 2018",Varies with device,Varies with device
Bubble Shooter 2,GAME,4.3,23005,Varies with device,"5,000,000+",Free,0,Everyone,Arcade,"July 25, 2018",3.5,4.1 and up
Barbie™ Fashion Closet,GAME,4.1,68057,85M,"10,000,000+",Free,0,Everyone,Casual;Creativity,"July 30, 2018",1.3.7,4.1 and up
Candy Crush Jelly Saga,GAME,4.3,1300490,78M,"50,000,000+",Free,0,Everyone,Puzzle,"July 20, 2018",2.1.10,4.0 and up
Hill Climb Racing,GAME,NaN,8923587,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up
Gardenscapes,GAME,4.6,4128732,Varies with device,"50,000,000+",Free,0,Everyone,Casual,"July 13, 2018",2.6.2,4.0.3 and up
Marble - Temple Quest,GAME,4.3,42053,24M,"10,000,000+",Free,0,Everyone,Puzzle,"June 21, 2018",4.9,4.0.3 and up
Shooting King,GAME,4.4,257724,69M,"10,000,000+",Free,0,Everyone 10+,Sports,"May 25, 2018",1.4.2,4.0.3 and up
Zombie Catchers,GAME,4.7,990491,75M,"10,000,000+",Free,0,Everyone,Action,"May 24, 2018",1.0.27,4.1 and up
Minion Rush: Despicable Me Official Game,GAME,4.5,10216538,Varies with device,"100,000,000+",Free,0,Everyone 10+,Casual;Action & Adventure,"July 12, 2018",Varies with device,Varies with device
Farm Heroes Saga,GAME,4.4,7614130,70M,"100,000,000+",Free,0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up
Geometry Dash World,GAME,4.6,760628,63M,"10,000,000+",Free,0,Everyone,Arcade,"December 22, 2017",1.03,4.0 and up
My Talking Angela,GAME,4.5,9881829,99M,"100,000,000+",Free,0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up
Cut the Rope FULL FREE,GAME,4.4,2123381,49M,"100,000,000+",Free,0,Everyone,NaN,"July 5, 2018",3.7.2,4.1 and up
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7671249,Varies with device,"100,000,000+",Free,0,Mature 17+,NaN,"August 2, 2018",Varies with device,Varies with device
Subway Surfers,GAME,4.5,27723193,76M,"1,000,000,000+",Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up
Clash of Clans,GAME,4.6,44891723,98M,"100,000,000+",Free,0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up
Candy Crush Saga,GAME,4.4,22428456,74M,"500,000,000+",Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up
My Talking Angela,GAME,4.5,9881908,99M,"100,000,000+",Free,0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up
Bubble Shooter,GAME,4.5,148895,46M,"10,000,000+",Free,0,Everyone,Casual,"July 17, 2018",1.20.1,4.0.3 and up
Toy Blast,GAME,NaN,1889250,Varies with device,"50,000,000+",Free,0,Everyone,Puzzle,"July 23, 2018",5423,4.1 and up
Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,183846,99M,"10,000,000+",Free,0,Everyone,Action,"July 30, 2018",1.0.6,4.4 and up
Wordscapes,GAME,4.8,230710,87M,"10,000,000+",Free,0,Everyone,Word,"August 2, 2018",1.0.47,4.1 and up
Word Search,GAME,4.7,295305,3.9M,"10,000,000+",Free,0,Everyone,Word,"June 6, 2018",1.1.3,3.0 and up
Candy Crush Soda Saga,GAME,4.4,6198880,67M,"100,000,000+",Free,0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up
Fishdom,GAME,4.6,2157930,Varies with device,"10,000,000+",Free,0,Everyone,Puzzle,"July 19, 2018",2.21.5,4.0.3 and up
Garena Free Fire,GAME,4.5,5465624,53M,"100,000,000+",Free,0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up
Block Puzzle,GAME,4.6,59854,7.8M,"5,000,000+",Free,0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up
Bowmasters,GAME,4.7,1534466,Varies with device,"50,000,000+",Free,0,Teen,Action,"July 23, 2018",2.12.5,4.1 and up
Clash Royale,GAME,4.6,23134775,97M,"100,000,000+",Free,0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up
Temple Run 2,GAME,NaN,8118937,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up
